Tweet Tratado,Tweet Original
"['aparentemente', 'tornei', 'temia', 'tornar', 'gay', 'meia', 'idade', 'usa', 'meia', 'colorida', 'roupa', 'preta']",Aparentemente me tornei o que mais temia me tornar: o gay de meia idade que usa meia colorida com roupa preta.
"['cada', 'dia', 'q', 'passa', 'sonho', 'louco', 'outro']",cada dia q passa eu tenho um sonho mais louco que o outro
"['eu', 'amo', 'genshin', 'o', 'problema', 'e', 'que', 'o', 'jogo', 'e', 'mal', 'otimizado', 'pra', 'celular', 'que', 'cu']","Eu amo Genshin
O PROBLEMA É QUE O JOGO É MAL OTIMIZADO PRA CELULAR, QUE CU"
"['bobo', 'vc', 'ne']",Bobo vc né?
"['queria', 'entender', 'merda', 'juro', 'parece', 'cada', 'particula', 'corpo', 'ta', 'doendo', 'to', 'morrendo', 'sono', 'simplesmente', 'da', 'pra', 'dormir']",Queria entender que merda é essa juro parece que cada partícula do meu corpo tá doendo to morrendo de sono mas simplesmente não dá pra dormir
"['isso', 'mostra', 'gosta', 'flu', 'msm', 'foda', 'ficar', 'ouvindo', 'vtnc', 'rede', 'nacional', 'algo', 'vc', 'n', 'merecia']","Isso mostra que ele gosta do flu msm, tu é foda. Ficar ouvindo ""vtnc"" em rede nacional é algo que vc n merecia https://t.co/IgP40G08T7"
"['foda', 'dms']",foda dms https://t.co/gNKIAv86xB
"['po', 'mo', 'neurose', 'conhecer', 'gente', 'aparentemente', 'ninguem', 'conhece', 'sla', 'vai', 'pessoa', 'fez', 'mo', 'merda', 'vou', 'ficar', 'sabendo', 'nunca']","po tenho mo neurose de conhecer gente que aparentemente ninguém conhece sla, vai que a pessoa já fez mo merda e eu não vou ficar sabendo nunca"
"['tao', 'dramatico', 'a', 'palavra', 'disse', 'esqueci', 'caralho', 'sentimentos', 'demonstrei', 'vtnc', 'humor', 'variavel', 'humor', 'variavel', 'desculpe', 'ultimo', 'nao', 'sou', 'nada', 'exagerado', 'tudo', 'invencao', 'deste', 'povo']","nem sou tão dramático!
A palavra que não disse: esqueci, caralho
os sentimentos que não demonstrei: 🤬VTNC
humor variável: se tive humor variável me desculpe
e por ultimo: NÃO SOU NADA EXAGERADO, é tudo invenção deste povo! https://t.co/gfYa2ZFdaM"
"['derem', 'disband', 'vou', 'chorar', 'vou', 'ficar', 'feliz', 'pq', 'yg', 'vai', 'foder', 'gostoso']","se elas derem disband eu vou chorar,mas vou ficar feliz pq a yg vai se foder gostoso https://t.co/HfResUIsjr"
Tweet Tratado,Tweet Original
"['vao', 'tudo', 'merda', 'tbm', 'ba']",Vão tudo a merda tbm ba
"['essa', 'semana', 'ta', 'chovendo', 'msg', 'pra', 'deixar', 'emocionado', 'a', 'mae', 'amigo', 'infancia', 'e', 'vida', 'mostrando', 'pra', 'onde', 'direcionar', 'intensidade', 'pra', 'realmente', 'ama', 'importa', 'sabe', 'falta', 'valor', 'to', 'aqui', 'agora', 'todo', 'bobo', 'novo']","Essa semana tá chovendo msg pra me deixar emocionado. A mãe do meu amigo de infância... É a vida me mostrando pra onde direcionar minha intensidade. Pra quem realmente me ama, se importa e sabe da minha falta e do meu valor. Tô aqui agora todo bobo, de novo. 🥰😭 https://t.co/aiwWqGAwyH"
"['vou', 'marcar', 'medico', 'pra', 'ver', 'dor', 'cabeca', 'doida', 'toda', 'noite', 'merda']","vou marcar um médico pra ver essa minha dor de cabeça doida, toda noite essa merda"
"['a', 'mesma', 'galera', 'ta', 'achando', 'ruim', 'todo', 'role', 'grande', 'rio', 'homenagear', 'exu', 'mesma', 'galera', 'acha', 'legal', 'ter', 'thor', 'filmes', 'marvel', 'o', 'problema', 'entidade', 'diferente', 'problema', 'ser', 'preta']","A mesma galera que tá achando ruim todo o role da Grande Rio homenagear Exu, é a mesma galera que acha legal ter o Thor nos filmes da Marvel.

O problema não é uma entidade diferente da sua, o problema é ela ser preta..."
"['inconcebivel', 'p', 'mim', 'pessoa', 'portugues', 'conseguir', 'ser', 'ser', 'humano', 'merda']",é inconcebível p mim uma pessoa com esse português conseguir ser um ser humano de merda https://t.co/sbuFH3ChnT
"['pertencer', 'doloroso', 'pra', 'cacete', 'aaaaaaaa']",se pertencer é doloroso pra cacete aaaaaaaa
"['heartstopper', 'lixo', 'alem', 'ser', 'serie', 'gay', 'gente', 'feia']",Heartstopper é um lixo além de ser uma série gay só tem gente feia
"['mano', 'to', 'c', 'muita', 'vontade', 'd', 'cagar', 'n', 'consigo', 'd', 'casa']",mano to c muita vontade d cagar mas n consigo fora d casa
"['comum', 'acordo', 'caralho', 'hahaha']",Comum acordo é o caralho hahaha https://t.co/7OcV7pg2rN
"['hrs', 'manha', 'voltando', 'parque', 'ser', 'assediada', 'ser', 'mulher', 'foda']",11 hrs da manhã voltando do parque e ser assediada… ser mulher é foda
"['com', 'sweatcalor', 'sem', 'sweatfrio', 'que', 'tempo', 'merda']","Com sweat=calor
Sem sweat=frio
Que tempo de merda😩"
"['eu', 'sempre', 'recebi', 'ligacoes', 'telerlmarketing', 'ligam', 'vc', 'atende', 'falam', 'nada', 'mas', 'ultimamente', 'ta', 'insuportavel', 'umas', 'ligacoes', 'hora', 'vai', 'tomar', 'cu']","Eu sempre recebi ligações de telerlmarketing, aquelas que ligam vc atende e não falam nada. Mas ultimamente TA INSUPORTÁVEL é umas 20 ligações por hora. Vai tomar no cu"
"['ah', 'vai', 'pra', 'puta', 'pariu']",ah vai pra puta que pariu https://t.co/H6jp8k5f1J
"['virar', 'professora', 'nutricao', 'p', 'comer', 'cu', 'alunos', 'igual', 'alda', 'comeu', 'agora']",virar professora de nutrição p comer o cu dos alunos igual a alda comeu o meu agora
"['mulher', 'louco', 'entenda']","mulher, eu estou louco por você, entenda"
"['freud', 'obrigado', 'sublimacao', 'viado', 'aaaa']","freud muito obrigado pela sublimação viado, aaaa"
"['quando', 'ignorancia', 'grita', 'inteligencia', 'cala', 'conclusao', 'perca', 'tempo', 'discutindo', 'esquerdistas', 'ptistas', 'nunca', 'admitem', 'precisar', 'chamam', 'advogado', 'jose', 'eduardo', 'cardozo', 'pra', 'ficar', 'repetindo', 'infinitamente', 'vem', 'ser', 'multado', 'stf']","Quando a ignorância *GRITA*, a inteligência cala. Conclusão: não perca tempo discutindo com esquerdistas ! 😉😜

PTistas nunca admitem uma cag4d4, e se precisar chamam o Advogado José Eduardo Cardozo pra ficar repetindo infinitamente que não houve mesmo,vem ser multado pelo STF. https://t.co/lgZxMzBB1B"
"['tomar', 'banho', 'de', 'manha']","Tomar um banho
De manhã"
"['estranho', 'saida', 'abel', 'hein', 'ha', 'pouco', 'tempo', 'atras', 'tava', 'sendo', 'campeao', 'carioca', 'festa', 'caralho']","Estranho essa saída do Abel, hein… Há pouco tempo atrás tava sendo campeão do carioca, uma festa do caralho."
"['so', 'queria', 'alguem', 'mto', 'gay', 'cmg']",so queria alguem que fosse mto gay cmg
"['puta', 'pariu']",Puta que me pariu
"['caralho', 'hoje', 'sessao', 'terapia', 'socao', 'cara', 'q', 'q']",Caralho hoje a sessão de terapia foi um socão na minha cara q q isso
"['cocota', 'feia', 'pa', 'caralho']",COCOTA FEIA PA CARALHO
"['tomar', 'cafe', 'ver', 'video', 'party', 'nova', 'heitor', 'silva', 'pretao', 'anda']","tomar café e ver video party nova do heitor da silva, pretão anda muito"
"['vir', 'pra', 'academia', 'fone', 'ai', 'chego', 'aqui', 'ta', 'tocando', 'pericles', 'puta', 'merda']","Vir pra academia sem fone, aí chego aqui tá tocando Péricles puta merda"
"['eu', 'to', 'cansada', 'demais', 'psicologico', 'abalado', 'to', 'chorando', 'pra', 'caralho', 'vou', 'ver', 'gine', 'dia', 'vei']","Eu tô cansada demais, meu psicológico abalado, tô chorando pra caralho e só vou ver o gine dia 13 véi"
"['eu', 'ando', 'mt', 'irritada', 'vontade', 'mandar', 'pessoas', 'especificas', 'tomar', 'cu', 'que', 'deus', 'ajude', 'n', 'fazer']",Eu ando mt irritada com vontade de mandar pessoas específicas tomar no cu. Que Deus me ajude a n fazer isso.
"['meu', 'pau', 'ta', 'durassoooo', 'caralho', 'aeeeeeeee', 'porra']",MEU PAU TA DURASSOOOO CARALHO AEEEEEEEE PORRA #Xbox #XboxGamePass https://t.co/ntfKrGGHs4
['foda'],que se foda ele https://t.co/1psQDxrzFX
"['vei', 'descubri', 'pq', 'sarinhah', 'nao', 'come', 'na', 'creche', 'sinceramente', 'vontade', 'bater', 'estar', 'obrigando', 'comer']",Vei descubri pq a sarinhah NÃO COME NA CRECHE sinceramente que vontade de me bater por estar obrigando ela comer aquilo
"['vou', 'enfiar', 'esse', 'chiclete', 'no', 'meu', 'cu']",VOU ENFIAR ESSE CHICLETE NO MEU CU
"['que', 'foda', 'braga', 'abel']","“ Que se foda eles” -Braga, Abel https://t.co/Ep0zkJOUto"
"['prepara', 'cu', 'city', 'quarta', 'vem', 'guerra']","Prepara o cu do city, quarta que vem é guerra https://t.co/ovjRjZSmgg"
"['gente', 'puxa', 'saco', 'pior', 'ne', 'puta', 'merda']",Gente puxa saco é a pior que tem né ?! Puta merda. 🙄
"['album', 'nina', 'ta', 'foda', 'demais', 'cada', 'verso', 'beat', 'referencias', 'salvou', 'dia']","esse album da nina ta foda demais! cada verso, beat, referências, salvou meu dia 🙌🏿"
"['minha', 'preta', 'viu']",Minha preta tem viu 🥵 https://t.co/qGyc1j3wq6
"['caralho', 'sandra', 'apareceu', 'falando', 'mendigo', 'vai', 'pagar', 'mano', 'bagulho', 'acabar', 'nunca']","Caralho a Sandra apareceu falando que o mendigo vai pagar elas , mano bagulho acabar nunca"
"['vim', 'pro', 'banheiro', 'e', 'a', 'pprra', 'do', 'ensino', 'medio', 'ainda', 'ta', 'aqui', 'fora', 'ai', 'o', 'fdp', 'que', 'me', 'perssegue', 'ficou', 'me', 'encarando']",VIM PRO BANHEIRO E A PPRRA DO ENSINO MEDIO AINDA TÁ AQUI FORA   AI O FDP QUE ME PERSSEGUE FICOU ME ENCARANDO
